pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,month,day
,1995-10-04,,,,"Charlton, Norm",123690,112213,,called_strike,,,,,,"Randy Velarde grounds out, shortstop Luis Sojo to first baseman Tino Martinez.",D,R,L,NYY,SEA,S,,,1,0,1995,,,,,,,,0,9,Bot,,,,,124234,,,,,,,,,,,,,,,,,68006,112213,124234,118362,112664,111116,122522,113324,115135,111676,,,,,,,,,75,2,,4,4,4,4,4,4,4,4,,,,0.0,-0.05,10,4
,1995-10-04,,,,"Charlton, Norm",123690,112213,,ball,,,,,,"Randy Velarde grounds out, shortstop Luis Sojo to first baseman Tino Martinez.",D,R,L,NYY,SEA,B,,,0,0,1995,,,,,,,,0,9,Bot,,,,,124234,,,,,,,,,,,,,,,,,68006,112213,124234,118362,112664,111116,122522,113324,115135,111676,,,,,,,,,75,1,,4,4,4,4,4,4,4,4,,,,0.0,0.038,10,4
,1995-10-04,,,,"Wetteland, John",122522,124123,strikeout,swinging_strike,,,,,,Luis Sojo strikes out swinging.,D,R,R,NYY,SEA,S,2,,0,2,1995,,,,,,113324,,2,9,Top,,,,,117747,,,,,,,,,,,,,,,,,68006,124123,117747,118443,123690,111153,114079,124314,124288,120028,,,,0.0,,0,0,,74,3,,4,4,4,4,4,4,4,4,,,,0.104,-0.212,10,4
,1995-10-04,,,,"Wetteland, John",122522,124123,,foul,,,,,,Luis Sojo strikes out swinging.,D,R,R,NYY,SEA,S,,,0,1,1995,,,,,,113324,,2,9,Top,,,,,117747,,,,,,,,,,,,,,,,,68006,124123,117747,118443,123690,111153,114079,124314,124288,120028,,,,,,,,,74,2,,4,4,4,4,4,4,4,4,,,,0.0,-0.074,10,4
,1995-10-04,,,,"Wetteland, John",122522,124123,,called_strike,,,,,,Luis Sojo strikes out swinging.,D,R,R,NYY,SEA,S,,,0,0,1995,,,,,,113324,,2,9,Top,,,,,117747,,,,,,,,,,,,,,,,,68006,124123,117747,118443,123690,111153,114079,124314,124288,120028,,,,,,,,,74,1,,4,4,4,4,4,4,4,4,,,,0.0,-0.048,10,4
,1995-10-04,,,,"Wetteland, John",112487,124123,strikeout,called_strike,,,,,,Vince Coleman called out on strikes.,D,L,R,NYY,SEA,S,2,,0,2,1995,,,,,,113324,,1,9,Top,,,,,117747,,,,,,,,,,,,,,,,,68006,124123,117747,118443,123690,111153,114079,124314,124288,120028,,,,0.0,,0,0,,73,4,,4,4,4,4,4,4,4,4,,,,0.092,-0.23,10,4
,1995-10-04,,,,"Wetteland, John",112487,124123,,foul,,,,,,Vince Coleman called out on strikes.,D,L,R,NYY,SEA,S,,,0,2,1995,,,,,,113324,,1,9,Top,,,,,117747,,,,,,,,,,,,,,,,,68006,124123,117747,118443,123690,111153,114079,124314,124288,120028,,,,,,,,,73,3,,4,4,4,4,4,4,4,4,,,,0.0,0.0,10,4
,1995-10-04,,,,"Wetteland, John",112487,124123,,foul,,,,,,Vince Coleman called out on strikes.,D,L,R,NYY,SEA,S,,,0,1,1995,,,,,,113324,,1,9,Top,,,,,117747,,,,,,,,,,,,,,,,,68006,124123,117747,118443,123690,111153,114079,124314,124288,120028,,,,,,,,,73,2,,4,4,4,4,4,4,4,4,,,,0.0,-0.089,10,4
,1995-10-04,,,,"Wetteland, John",112487,124123,,foul,,,,,,Vince Coleman called out on strikes.,D,L,R,NYY,SEA,S,,,0,0,1995,,,,,,113324,,1,9,Top,,,,,117747,,,,,,,,,,,,,,,,,68006,124123,117747,118443,123690,111153,114079,124314,124288,120028,,,,,,,,,73,1,,4,4,4,4,4,4,4,4,,,,0.0,-0.054,10,4
,1995-10-04,,,,"Wickman, Bob",112664,124233,sac_bunt,hit_into_play,,,,,,"Joey Cora out on a sacrifice bunt, pitcher Bob Wickman to first baseman Don Mattingly.   Alex Diaz to 2nd.",D,L,R,NYY,SEA,X,1,ground_ball,1,1,1995,,,,,,,113324,0,9,Top,,,,,117747,,,,,,,,,,,,,,,,,68006,124233,117747,118443,123690,111153,114079,124314,124288,120028,,,,0.0,,0,0,,72,3,,4,4,4,4,4,4,4,4,,,,0.02,-0.091,10,4
