pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,month,day
FF,2024-07-01,96.3,-2.09,5.32,"Rodríguez, Yariel",676694,684320,,foul,,,,,1,Jake Meyers strikes out swinging.,R,R,R,TOR,HOU,S,,,0,1,2024,-0.7,0.87,-0.62,2.88,,,,1,4,Top,,,,,672386,,,5.526949226499161,-140.27049563762012,-2.927589738373504,-10.5252205756817,30.02994449460962,-20.161475162014455,3.34,1.49,160,75.6,62,97.1,2559,6.5,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,53.96,,,,,,,,23,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,212,0.0,-0.036,69.42162020292615,6.0223,7,1
FF,2024-07-01,95.1,-1.5,5.92,"Rodríguez, Yariel",676694,684320,,called_strike,,,,,9,Jake Meyers strikes out swinging.,R,R,R,TOR,HOU,S,,,0,0,2024,-0.39,1.06,0.68,2.04,,,,1,4,Top,,,,,672386,,,6.622123264112406,-138.23444107323635,-6.941191004108061,-6.42461754889312,29.734358458854523,-17.26434391320184,3.45,1.48,,,,95.7,2534,6.6,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,53.86,,,,,,,,23,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,198,0.0,-0.024,,,7,1
FF,2024-07-01,95.5,-1.38,5.93,"Rodríguez, Yariel",608324,684320,field_out,hit_into_play,,,,,3,"Alex Bregman grounds out, second baseman Davis Schneider to first baseman Spencer Horwitz.",R,R,R,TOR,HOU,X,4,ground_ball,0,0,2024,0.01,1.07,0.64,3.02,,,,0,4,Top,139.46,157.3,,,672386,,,5.319181632283098,-139.02389810577344,-4.46583728977323,-1.0833855239846537,30.65628651800838,-17.53018001472256,3.32,1.6,10,80.4,-15,95.7,2447,6.4,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,54.14,0.057,0.05,0.0,1,0,0,2,22,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,196,0.027,-0.228,69.52411325652811,6.26209,7,1
SI,2024-07-01,95.9,-1.66,5.96,"Brown, Hunter",457759,686613,strikeout,called_strike,,,,,8,Justin Turner called out on strikes.,R,R,R,TOR,HOU,S,2,,1,2,2024,-1.05,1.27,-0.24,1.73,,,,2,3,Bot,,,,,673237,,,6.1869330067558845,-139.35346318549048,-8.471165365614553,-15.136451930733813,31.865348124857377,-13.916858671933731,3.37,1.43,,,,96.5,2267,6.8,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.75,,0.0,0.0,1,0,0,,21,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,204,-0.012,-0.067,,,7,1
SI,2024-07-01,94.3,-1.54,6.1,"Brown, Hunter",457759,686613,,called_strike,,,,,8,Justin Turner called out on strikes.,R,R,R,TOR,HOU,S,,,1,1,2024,-1.31,1.28,0.13,1.94,,,,2,3,Bot,,,,,673237,,,7.266703801669451,-136.97057543203894,-7.972866147195464,-18.059118994715163,29.67060432890257,-14.44220198997469,3.38,1.54,,,,94.7,2226,6.6,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.91,,,,,,,,21,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,201,0.0,-0.025,,,7,1
SI,2024-07-01,94.7,-1.52,6.05,"Brown, Hunter",457759,686613,,called_strike,,,,,3,Justin Turner called out on strikes.,R,R,R,TOR,HOU,S,,,1,0,2024,-1.24,1.35,0.58,2.77,,,,2,3,Bot,,,,,673237,,,8.293812348077173,-137.63038573479858,-5.942446802240863,-17.595458125744916,31.018688420373262,-13.800434394187103,3.31,1.5,,,,95.2,2243,6.7,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.8,,,,,,,,21,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,203,0.0,-0.019,,,7,1
KC,2024-07-01,81.4,-1.61,6.26,"Brown, Hunter",457759,686613,,ball,,,,,14,Justin Turner called out on strikes.,R,R,R,TOR,HOU,B,,,0,0,2024,0.32,-1.27,0.49,0.63,,,,2,3,Bot,,,,,673237,,,4.124821093253834,-118.44324806026196,-3.5301862251940754,2.113117155353537,25.13079195610285,-43.55161000984106,3.26,1.49,,,,81.4,2493,6.6,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.92,,,,,,,,21,1,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,17,0.0,0.014,,,7,1
FF,2024-07-01,93.6,-1.94,6.01,"Brown, Hunter",687462,686613,field_out,hit_into_play,,,,,2,Spencer Horwitz pops out to third baseman Alex Bregman in foul territory.,R,L,R,TOR,HOU,X,5,popup,0,0,2024,-0.69,1.34,0.04,3.35,,,,1,3,Bot,81.55,173.58,,,673237,,,6.646995111281083,-136.1452540374129,-4.105202896999001,-9.97349197366698,29.249898040882474,-14.763489064318431,3.59,1.69,156,88.6,68,93.8,2220,6.4,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,54.13,0.003,0.003,0.0,1,0,0,3,20,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,208,-0.017,-0.162,72.79987087920144,6.99064,7,1
SI,2024-07-01,95.1,-1.4,6.05,"Brown, Hunter",666182,686613,field_out,hit_into_play,,,,,11,Bo Bichette lines out to third baseman Alex Bregman.,R,R,R,TOR,HOU,X,5,line_drive,1,1,2024,-1.2,1.14,-0.87,3.14,,,,0,3,Bot,103.93,156.12,,,673237,,,4.118598289770935,-138.36984577194107,-4.520974263928692,-16.335956099952387,32.29594078454328,-16.78006963492645,3.69,1.73,126,63.6,16,95.6,2141,6.7,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.83,0.286,0.257,0.0,1,0,0,2,19,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,204,-0.025,-0.215,66.81599157238985,6.74856,7,1
SI,2024-07-01,93.7,-1.64,6.09,"Brown, Hunter",666182,686613,,foul,,,,,11,Bo Bichette lines out to third baseman Alex Bregman.,R,R,R,TOR,HOU,S,,,1,0,2024,-1.3,0.9,-0.83,3.03,,,,0,3,Bot,,,,,673237,,,4.989627604868925,-136.24687002472194,-4.124796277009422,-17.278344889394063,32.154267151902374,-20.256130243959287,3.69,1.73,32,49.3,1,93.9,2011,6.6,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.87,,,,,,,,19,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,206,0.0,-0.044,62.78201571818053,5.5692,7,1
