pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,month,day
FF,2026-09-12,96.6,1.98,6.0,"Latz, Jacob",814439,656641,strikeout,swinging_strike,,,,,2,Ryan Waldschmidt strikes out swinging.,R,R,L,AZ,TEX,S,2,,3,2,2026,0.64,1.53,0.1306876000461038,2.864309299349181,,,,2,9,Bot,,,,,,,-6.338004375759666,-140.4318151658444,-6.093871626229033,9.930792549533248,34.01817304668684,-10.783412213978572,3.201574803,1.615748032,,,,96.5,2328,6.4,825035,553869,669394,677649,683227,608369,694671,694497,607043,54.08,,0.0,0.0,1,0,0,,77,6,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,145,-0.002,-0.303,73.7,5.9,0.47204142,,0.303,,-4,-4,0.002,0.002,30,23,30,24,1,3,,,,,0.93,0.64,-0.64,,-2.2365725287724167,3.784394964322336,34.18395119717035,34.8559036843601,21.4363439229372,9,12
CH,2026-09-12,88.5,2.2,5.9,"Latz, Jacob",814439,656641,,ball,,,,,14,,R,R,L,AZ,TEX,B,,,2,2,2026,1.25,0.79,1.5369378000731329,1.8807871156908964,,,,2,9,Bot,,,,,,,-4.2790768105695225,-128.8325178628891,-5.189658100674045,14.838447576760911,27.286031044463684,-22.47781581734822,3.201574803,1.615748032,,,,88.7,2085,6.4,825035,553869,669394,677649,683227,608369,694671,694497,607043,54.07,,,,,,,,77,5,Changeup,2,6,2,6,6,2,2,6,Standard,Standard,126,0.001,0.081,,,,,-0.081,,-4,-4,0.001,0.001,30,23,30,24,1,3,,,,,2.12,1.25,-1.25,,,,,,,9,12
CU,2026-09-12,81.1,2.19,5.97,"Latz, Jacob",814439,656641,,ball,,,,,14,,R,R,L,AZ,TEX,B,,,1,2,2026,-0.16,-1.28,0.0227555635009705,-0.5519157721367591,,,,2,9,Bot,,,,,,,-4.462778472684122,-117.84428835221748,-5.026216774578655,-0.4649847478439675,26.458074816986365,-43.01844430824754,3.201574803,1.615748032,,,,80.5,2826,6.4,825035,553869,669394,677649,683227,608369,694671,694497,607043,54.1,,,,,,,,77,4,Curveball,2,6,2,6,6,2,2,6,Standard,Standard,329,0.0,0.041,,,,,-0.041,,-4,-4,0.001,0.001,30,23,30,24,1,3,,,,,4.8,-0.16,0.16,,,,,,,9,12
FF,2026-09-12,95.7,1.99,6.09,"Latz, Jacob",814439,656641,,ball,,,,,12,,R,R,L,AZ,TEX,B,,,0,2,2026,0.89,1.43,0.6469702300461903,4.110045507444422,,,,2,9,Bot,,,,,,,-5.553189995983843,-139.22514887840893,-2.6998629051693226,12.908815502890064,33.396593362768456,-13.244892452687813,3.201574803,1.615748032,,,,95.6,2298,6.4,825035,553869,669394,677649,683227,608369,694671,694497,607043,54.07,,,,,,,,77,3,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,150,0.0,0.026,,,,,-0.026,,-4,-4,0.001,0.001,30,23,30,24,1,3,,,,,1.07,0.89,-0.89,,,,,,,9,12
CH,2026-09-12,87.1,2.2,5.96,"Latz, Jacob",814439,656641,,swinging_strike,,,,,14,,R,R,L,AZ,TEX,S,,,0,1,2026,1.27,0.69,0.7153065560803626,0.8066214874187974,,,,2,9,Bot,,,,,,,-6.153486141915997,-126.47980819642012,-7.322468922076592,14.857277002971346,26.87775989785505,-23.422397406462057,3.201574803,1.615748032,,,,86.8,1985,6.3,825035,553869,669394,677649,683227,608369,694671,694497,607043,54.17,,,,,,,,77,2,Changeup,2,6,2,6,6,2,2,6,Standard,Standard,127,0.0,-0.062,72.9,8.6,12.736658352,,0.062,,-4,-4,0.001,0.001,30,23,30,24,1,3,,,,,2.34,1.27,-1.27,,35.01247866874303,-35.95906947745979,41.85081938385016,41.51865067587396,48.30784584656636,9,12
FF,2026-09-12,95.7,2.09,6.08,"Latz, Jacob",814439,656641,,called_strike,,,,,9,,R,R,L,AZ,TEX,S,,,0,0,2026,0.83,1.58,0.7620108206503294,2.0132244602518474,,,,2,9,Bot,,,,,,,-5.362360529687996,-138.9679602925561,-8.458514234022132,11.989252671195514,32.55079678097833,-9.993034616445817,3.201574803,1.615748032,,,,95.5,2341,6.4,825035,553869,669394,677649,683227,608369,694671,694497,607043,54.1,,,,,,,,77,1,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,150,0.0,-0.044,,,,,0.044,,-4,-4,0.001,0.001,30,23,30,24,1,3,,,,,0.93,0.83,-0.83,,,,,,,9,12
FF,2026-09-12,96.2,2.0,6.07,"Latz, Jacob",545121,656641,field_out,hit_into_play,,,,,12,Ildemaro Vargas flies out to shortstop Corey Seager.,R,R,L,AZ,TEX,X,6,fly_ball,0,0,2026,0.79,1.56,0.5648416165025043,3.505869470132833,,,,1,9,Bot,93.25,125.07,,,,,-5.576675374267452,-139.85382828486317,-4.562614351928422,11.687448665095149,33.532613755441275,-10.97093294516345,3.161204068,1.595374016,204,91.0,60,95.9,2363,6.3,825035,553869,669394,677649,683227,608369,694671,694497,607043,54.21,0.023,0.024,0.0,1,0,0,3,76,1,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,150,-0.006,-0.261,80.0,7.7,,0.036,0.261,91.0,-4,-4,0.007,0.007,30,34,30,35,1,2,,,,,0.92,0.79,-0.79,,12.580020407088156,-8.453953602076108,13.702391365499524,40.71110177443106,31.875656064377168,9,12
FF,2026-09-12,95.9,2.12,6.09,"Latz, Jacob",694374,656641,field_out,hit_into_play,,,,,3,Tim Tawa lines out to shortstop Corey Seager.,R,R,L,AZ,TEX,X,6,line_drive,2,2,2026,0.93,1.44,0.3332850453862841,3.106247513859722,,,,0,9,Bot,95.99,146.09,,,,,-6.832935820138954,-139.38146761367318,-5.398311177112002,13.722630081874913,31.425426278352816,-12.347738706811564,3.162959318,1.596259843,156,98.0,10,96.2,2409,6.5,825035,553869,669394,677649,683227,608369,694671,694497,607043,53.95,0.74,0.721,0.0,1,0,0,4,75,6,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,145,-0.01,-0.234,74.0,6.7,,0.895,0.234,98.0,-4,-4,0.017,0.017,30,27,30,27,1,3,,,,,1.04,0.93,-0.93,,16.75582387627809,-4.672501950532569,24.68962165160148,36.95938074158252,31.753062789858284,9,12
FF,2026-09-12,95.0,2.19,5.92,"Latz, Jacob",694374,656641,,ball,,,,,12,,R,R,L,AZ,TEX,B,,,1,2,2026,0.97,1.41,0.1298475578043977,4.282483634802638,,,,0,9,Bot,,,,,,,-7.575713829622944,-138.20473568534587,-1.674990015720426,14.19961319643633,31.38954077821904,-13.966201799039046,3.162959318,1.596259843,,,,95.1,2437,6.4,825035,553869,669394,677649,683227,608369,694671,694497,607043,54.07,,,,,,,,75,5,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,146,0.002,0.047,,,,,-0.047,,-4,-4,0.015,0.015,30,27,30,27,1,3,,,,,1.12,0.97,-0.97,,,,,,,9,12
FF,2026-09-12,96.3,2.06,6.11,"Latz, Jacob",694374,656641,,foul,,,,,12,,R,R,L,AZ,TEX,S,,,1,2,2026,0.8,1.64,0.0979682833442207,4.263222332036686,,,,0,9,Bot,,,,,,,-6.960356040242134,-140.02687481562947,-2.9036813216696538,12.09834696900531,33.20696924842647,-10.226824303282417,3.162959318,1.596259843,270,80.3,49,96.0,2478,6.3,825035,553869,669394,677649,683227,608369,694671,694497,607043,54.24,,,,,,,,75,4,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,148,0.0,0.0,69.2,6.6,,,0.0,88.0,-4,-4,0.015,0.015,30,27,30,27,1,3,,,,,0.83,0.8,-0.8,,14.032117661481683,-4.487713116396391,13.209813842806216,35.01049969126316,32.6200970486055,9,12
